l,eta,error_type,CD_type,noise_model,pth,stderr
5,5.0,X_MEM_PY,SC,circuit_level,0.0116114944251569,1.1502435508608115e-05
5,5.0,Z_MEM_PY,SC,circuit_level,0.0070952394791651,3.986698231293005e-06
5,5.0,TOTAL_MEM_PY,SC,circuit_level,0.007747463129559,3.7206923530637353e-06
6,5.0,X_MEM_PY,SC,circuit_level,0.0122125510680337,8.25976940325625e-06
6,5.0,Z_MEM_PY,SC,circuit_level,0.006258714033306,3.874497654026258e-06
6,5.0,TOTAL_MEM_PY,SC,circuit_level,0.0066179364032799,4.066286407749572e-06
2,10.0,X_MEM_PY,SC,circuit_level,0.008559493105618,1.82235173853523e-06
2,10.0,Z_MEM_PY,SC,circuit_level,0.0123639047174067,1.053334075503552e-05
2,10.0,TOTAL_MEM_PY,SC,circuit_level,0.0086342211052602,1.8261940767715683e-06
3,10.0,X_MEM_PY,SC,circuit_level,0.0102579538785759,2.002077232253716e-06
3,10.0,Z_MEM_PY,SC,circuit_level,0.0101566375148898,2.614122678528876e-06
3,10.0,TOTAL_MEM_PY,SC,circuit_level,0.0102308420252932,1.6199433023936193e-06
4,10.0,X_MEM_PY,SC,circuit_level,0.0113066779210939,4.718314625225718e-06
4,10.0,Z_MEM_PY,SC,circuit_level,0.0086497098565711,3.591771517072129e-06
4,10.0,TOTAL_MEM_PY,SC,circuit_level,0.0097542363379778,2.3946066477928622e-06
5,10.0,X_MEM_PY,SC,circuit_level,0.0121065524168343,8.279073069987169e-06
5,10.0,Z_MEM_PY,SC,circuit_level,0.0075908094034792,4.978192939846985e-06
5,10.0,TOTAL_MEM_PY,SC,circuit_level,0.0084399765291092,4.5048409471660905e-06
6,10.0,X_MEM_PY,SC,circuit_level,0.0127900889453634,8.749630163069803e-06
6,10.0,Z_MEM_PY,SC,circuit_level,0.0066966882699774,4.6277821583114615e-06
6,10.0,TOTAL_MEM_PY,SC,circuit_level,0.0072903238847541,4.525876616350812e-06
2,0.5,X_MEM_PY,ZXXZonSqu,circuit_level,0.0085285821625943,2.44574048096555e-06
2,0.5,Z_MEM_PY,ZXXZonSqu,circuit_level,0.0085293739733445,2.4861036455675e-06
2,0.5,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.0085312163763076,3.482773894232925e-06
3,0.5,X_MEM_PY,ZXXZonSqu,circuit_level,0.0090637696590523,4.340078270634746e-06
3,0.5,Z_MEM_PY,ZXXZonSqu,circuit_level,0.0071174719645718,2.4150029273887075e-06
3,0.5,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.007498792935788,1.943754970784859e-06
4,0.5,X_MEM_PY,ZXXZonSqu,circuit_level,0.0096377930908258,6.427953667656706e-06
4,0.5,Z_MEM_PY,ZXXZonSqu,circuit_level,0.0060914037424371,2.7334542040573205e-06
4,0.5,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.0063247446665586,2.7108244747457875e-06
5,0.5,X_MEM_PY,ZXXZonSqu,circuit_level,0.0100594811638034,6.843235068390488e-06
5,0.5,Z_MEM_PY,ZXXZonSqu,circuit_level,0.0053326255124447,3.0972533013118147e-06
5,0.5,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.0054525822261358,2.961149406545075e-06
6,0.5,X_MEM_PY,ZXXZonSqu,circuit_level,0.0104379625184706,7.27932215438814e-06
6,0.5,Z_MEM_PY,ZXXZonSqu,circuit_level,0.0047797614950765,3.7837502561273582e-06
6,0.5,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.0048725084710573,3.476239529345525e-06
2,5.0,X_MEM_PY,ZXXZonSqu,circuit_level,0.0099668171254721,2.1122482062819883e-06
2,5.0,Z_MEM_PY,ZXXZonSqu,circuit_level,0.0099732588014124,2.182485119390653e-06
2,5.0,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.0099658032629188,1.498966618888109e-06
3,5.0,X_MEM_PY,ZXXZonSqu,circuit_level,0.0114762417013168,8.811253020100964e-06
3,5.0,Z_MEM_PY,ZXXZonSqu,circuit_level,0.0081779180263478,2.860320189996808e-06
3,5.0,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.0087083035801763,2.872766579884965e-06
4,5.0,X_MEM_PY,ZXXZonSqu,circuit_level,0.0124182694300493,8.40333290235984e-06
4,5.0,Z_MEM_PY,ZXXZonSqu,circuit_level,0.0069452888373116,3.0640523855081486e-06
4,5.0,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.0072726347415189,3.4706120794763274e-06
5,5.0,X_MEM_PY,ZXXZonSqu,circuit_level,0.0131246892422195,9.36094527953759e-06
5,5.0,Z_MEM_PY,ZXXZonSqu,circuit_level,0.0061320655043901,3.841751714864433e-06
5,5.0,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.0063047165166819,3.924757761442807e-06
6,5.0,X_MEM_PY,ZXXZonSqu,circuit_level,0.0136898714634503,9.70854417292496e-06
6,5.0,Z_MEM_PY,ZXXZonSqu,circuit_level,0.005494806377619,4.224723602572133e-06
6,5.0,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.0055957157276467,4.040585211044616e-06
2,10.0,X_MEM_PY,ZXXZonSqu,circuit_level,0.0103455943950056,2.380755273296397e-06
2,10.0,Z_MEM_PY,ZXXZonSqu,circuit_level,0.0103501328473411,2.338259851223922e-06
2,10.0,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.0103494889859359,1.7987276911655244e-06
3,10.0,X_MEM_PY,ZXXZonSqu,circuit_level,0.0120849889252914,9.118773997838184e-06
3,10.0,Z_MEM_PY,ZXXZonSqu,circuit_level,0.0084909857400921,3.0730377155891387e-06
3,10.0,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.0090794516337479,3.5286015725844614e-06
4,10.0,X_MEM_PY,ZXXZonSqu,circuit_level,0.013225108311405,8.32017195818631e-06
4,10.0,Z_MEM_PY,ZXXZonSqu,circuit_level,0.0072690781231214,3.6444747927130912e-06
4,10.0,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.0076041569918399,3.918424421557457e-06
5,10.0,X_MEM_PY,ZXXZonSqu,circuit_level,0.0140368777722546,9.83979854642955e-06
5,10.0,Z_MEM_PY,ZXXZonSqu,circuit_level,0.0063816054496644,4.047054099603109e-06
5,10.0,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.0065638533117232,3.9789241016588606e-06
6,10.0,X_MEM_PY,ZXXZonSqu,circuit_level,0.0147035885789789,9.300162406977182e-06
6,10.0,Z_MEM_PY,ZXXZonSqu,circuit_level,0.0057006262817151,4.433238643935331e-06
6,10.0,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.0058449667793604,4.293707001939824e-06
2,25.0,X_MEM_PY,ZXXZonSqu,circuit_level,0.0106636362861371,2.480745825736448e-06
2,25.0,Z_MEM_PY,ZXXZonSqu,circuit_level,0.010662821951149,2.9199887497752822e-06
2,25.0,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.0106640299694812,1.7086665273315953e-06
3,25.0,X_MEM_PY,ZXXZonSqu,circuit_level,0.0125865856421212,9.042957692469032e-06
3,25.0,Z_MEM_PY,ZXXZonSqu,circuit_level,0.0087819057834678,3.3002495958710254e-06
3,25.0,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.0094113714193476,3.554053669256777e-06
