l,eta,error_type,CD_type,noise_model,pth,stderr
6,0.5,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.005229696689514722,2.4603844064693466e-05
2,10.0,X_MEM_PY,ZXXZonSqu,circuit_level,0.014979189310190466,9.168252889728868e-06
2,10.0,Z_MEM_PY,ZXXZonSqu,circuit_level,0.015086559962554192,8.82343492518468e-06
2,10.0,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.015031571916298192,7.848327197772696e-06
3,10.0,X_MEM_PY,ZXXZonSqu,circuit_level,0.016515283106015372,0.00013355152282392677
3,10.0,Z_MEM_PY,ZXXZonSqu,circuit_level,0.012553029150825559,8.495177985598268e-05
3,10.0,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.01415853485523481,2.2984416004523695e-05
4,10.0,Z_MEM_PY,ZXXZonSqu,circuit_level,0.010882636829449994,0.00012132800273421025
4,10.0,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.012967685501480603,6.187367062036772e-05
5,10.0,Z_MEM_PY,ZXXZonSqu,circuit_level,0.009952846973592533,0.00023404452077831352
5,10.0,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.011803272065467978,8.266860525399001e-05
6,10.0,X_MEM_PY,ZXXZonSqu,circuit_level,0.01789232481291329,0.00015782115613016787
6,10.0,Z_MEM_PY,ZXXZonSqu,circuit_level,0.009027377860971481,8.177258369363322e-05
6,10.0,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.01084052635878252,8.616369160142292e-05
2,50.0,X_MEM_PY,ZXXZonSqu,circuit_level,0.01933893001671966,1.2912765942216149e-05
2,50.0,Z_MEM_PY,ZXXZonSqu,circuit_level,0.019552944070343112,1.0451971985147685e-05
2,50.0,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.019448118738373838,8.983841513369092e-06
3,50.0,X_MEM_PY,ZXXZonSqu,circuit_level,0.020822289698607683,9.17660698166206e-05
3,50.0,Z_MEM_PY,ZXXZonSqu,circuit_level,0.017735376925836634,0.0003763203308047504
3,50.0,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.020044859171097384,3.19786023521657e-05
4,50.0,X_MEM_PY,ZXXZonSqu,circuit_level,0.021719302583375906,3.009462298168537e-05
4,50.0,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.02055468098050803,3.085775485269156e-05
5,50.0,X_MEM_PY,ZXXZonSqu,circuit_level,0.02208691968966923,0.00011725397285541814
5,50.0,Z_MEM_PY,ZXXZonSqu,circuit_level,0.014465255013170232,0.0020328576902934304
5,50.0,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.02071951645976337,3.7036893610422735e-05
6,50.0,X_MEM_PY,ZXXZonSqu,circuit_level,0.02258618376304651,6.182027969767609e-05
6,50.0,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.02115603334783412,4.477199341856877e-05
2,100.0,X_MEM_PY,ZXXZonSqu,circuit_level,0.02110610841309973,1.5256193090644432e-05
2,100.0,Z_MEM_PY,ZXXZonSqu,circuit_level,0.021402884810479136,1.2896030659733441e-05
2,100.0,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.021259981653176246,9.350002881329124e-06
3,100.0,X_MEM_PY,ZXXZonSqu,circuit_level,0.022221591568578135,9.634396411760122e-05
3,100.0,Z_MEM_PY,ZXXZonSqu,circuit_level,0.020678848414393686,0.0004417451951206953
3,100.0,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.02200279833671509,6.926092098177513e-05
